id,projectId,propertyCategory,type,customBHK
cmf53kkzz000ivcu89r5399s4,cmf53kkzy000fvcu8tx8jwjmr,RESIDENTIAL,1BHK,
cmf53kl00000kvcu86ivy65di,cmf53kkzy000fvcu8tx8jwjmr,RESIDENTIAL,2BHK,
cmf5r6hv20004vxpt0l657blu,cmf5r6hv00001vxptnfichhfl,RESIDENTIAL,2BHK,2BHK
cmfawdrnq000avc18qcvaxzi9,cmfawdrno0007vc18l0fm0z2j,RESIDENTIAL,1BHK,1BHK
cmfawdrnr000dvc188hupv4yy,cmfawdrno0007vc18l0fm0z2j,RESIDENTIAL,3BHK,3BHK
cmfawdrnr000gvc18iunqlv98,cmfawdrno0007vc18l0fm0z2j,RESIDENTIAL,2BHK,2BHK
cmfaxq2or0023vc18biodrtiy,cmfaxq2oo0020vc1806nmle00,RESIDENTIAL,1BHK,1BHK
cmfaxq2os0025vc18y99ryrns,cmfaxq2oo0020vc1806nmle00,RESIDENTIAL,2BHK,2BHK
cmfaxq2os0027vc1861948lln,cmfaxq2oo0020vc1806nmle00,RESIDENTIAL,3BHK,3BHK
cmfaycwy80039vc18b1epdodx,cmfaycwy70036vc18ppmb8mwh,RESIDENTIAL,1BHK,1BHK
cmfaycwy9003dvc1853ic14wb,cmfaycwy70036vc18ppmb8mwh,RESIDENTIAL,2BHK,2BHK
cmfc6pq1m0004vca0cdihsx99,cmfc6pq1k0001vca0ikzb258m,RESIDENTIAL,1BHK,1BHK
cmfc6pq1m0006vca04kqz1wsp,cmfc6pq1k0001vca0ikzb258m,RESIDENTIAL,2BHK,2BHK
cmfc6pq1m0009vca0tmv501em,cmfc6pq1k0001vca0ikzb258m,RESIDENTIAL,3BHK,3BHK
cmfc79ip7001fvca0dhfqinl1,cmfc79ip5001cvca0qht6o44p,RESIDENTIAL,1BHK,1BHK
cmfc79ip7001ivca0pjtsq247,cmfc79ip5001cvca0qht6o44p,RESIDENTIAL,2BHK,2BHK
cmfc80zv3002gvca08q08d09k,cmfc80zv1002dvca0hcgoc6ea,COMMERCIAL,Office,Office
cmfc8w1e9003gvca0vfq51lrw,cmfc8w1e8003dvca0yvieggaz,RESIDENTIAL,2BHK,2BHK
cmfc8w1ea003kvca0antflsgo,cmfc8w1e8003dvca0yvieggaz,RESIDENTIAL,3BHK,3BHK
cmfcccifu004qvca0daqsesxl,cmfcccifs004nvca0b7im3r5a,RESIDENTIAL,1BHK,1BHK
cmfcccifv004svca07g88pbp7,cmfcccifs004nvca0b7im3r5a,RESIDENTIAL,2BHK,2BHK
cmfcd6uur005ivca0zanvi722,cmfcd6uup005fvca03vhph9j1,RESIDENTIAL,2BHK,2BHK
cmfcd6uur005lvca0r1lfayx1,cmfcd6uup005fvca03vhph9j1,RESIDENTIAL,3BHK,3BHK
