"id","configurationId","bathrooms","privateBathrooms","publicBathrooms","balcony","furnishedType","furnishingType","lift","ageOfProperty","parkingType","listingType","floorPlanImage","carpetArea","price","propertyImages","maintenanceCharges","aboutProperty","createdAt","updatedAt"
"cmf5r6hv20005vxpt3yfnl2qp","cmf5r6hv20004vxpt0l657blu","12",,,"3","UNFURNISHED","[]","false",,,"Sell","https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757011238520-ba6c9c4021ea321f.jpg","972","120000000","[""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757011238541-c8a6e3aced460e18.jpg""]","faded ","about property ","2025-09-04 18:42:08.748","2025-09-04 18:42:08.748"
"cmf5r6hv20006vxptcx3lmm05","cmf5r6hv20004vxpt0l657blu","3",,,"2","UNFURNISHED","[]","false",,,"Sell","https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757011238542-2d39a8b06669406b.jpg","188.73","210000000","[""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757011238542-bd3d1a40c2d7fadb.jpg""]",,"fsdaffdsafsfdddsa","2025-09-04 18:42:08.748","2025-09-04 18:42:08.748"
"cmfawdrnq000bvc188680qjyx","cmfawdrnq000avc18qcvaxzi9","1",,,"1","UNFURNISHED","[]","false",,,"Sell","https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757322391101-b4e4be9945434d29.jpg","426.57","13000000","[""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757322391106-7c383f81d9c66290.jpg""]",,"na","2025-09-08 09:06:36.995","2025-09-08 09:06:36.995"
"cmfawdrnr000cvc1897rpsu1b","cmfawdrnq000avc18qcvaxzi9","1",,,"1","UNFURNISHED","[]","false",,,"Sell","https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757322391141-e6c14becbdbd76a2.jpg","460.8","15000000","[""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757322391150-9b806803ceb0c8b6.jpg""]",,"na","2025-09-08 09:06:36.995","2025-09-08 09:06:36.995"
"cmfawdrnr000evc18jwvlery4","cmfawdrnr000dvc188hupv4yy","3",,,"2","UNFURNISHED","[]","false",,,"Sell","https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757322391158-41329b8304cff17d.jpg","893.08","29000000","[""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757322391167-19d3844213de86cb.jpg""]",,"na","2025-09-08 09:06:36.995","2025-09-08 09:06:36.995"
"cmfawdrnr000fvc18af74elnu","cmfawdrnr000dvc188hupv4yy","3",,,"2","UNFURNISHED","[]","false",,,"Sell","https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757322391179-7f2bff943c2805a5.jpg","918.27","29000000","[""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757322391188-7b25319224e8a812.jpg""]",,"na","2025-09-08 09:06:36.995","2025-09-08 09:06:36.995"
"cmfawdrns000hvc18t3u6jukg","cmfawdrnr000gvc18iunqlv98","2",,,"2","UNFURNISHED","[]","false",,,"Sell","https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757322391195-0e9c4aa442f80776.jpg","804.6","26000000","[""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757322391202-e4d28b891dcb832f.jpg""]",,"na","2025-09-08 09:06:36.995","2025-09-08 09:06:36.995"
"cmfawdrns000ivc181n6bq8cm","cmfawdrnr000gvc18iunqlv98","2",,,"2","UNFURNISHED","[]","false",,,"Sell","https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757322391210-70f3ad7351a09d4c.jpg","1036.67","33000000","[""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757322391218-4ca8b878a42de5ae.jpg""]",,"na","2025-09-08 09:06:36.995","2025-09-08 09:06:36.995"
"cmfaxq2or0024vc18pjebowp8","cmfaxq2or0023vc18biodrtiy","1",,,"1","UNFURNISHED","[]","false",,,"Sell","https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757324645437-975f7a8ecca1de6d.jpg","443.37","13000000","[""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757324645448-dbde48f7805f3bd0.jpg""]",,"na","2025-09-08 09:44:10.775","2025-09-08 09:44:10.775"
"cmfaxq2os0026vc18v92cqw3r","cmfaxq2os0025vc18y99ryrns","2",,,"2","UNFURNISHED","[]","false",,,"Sell","https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757324645448-970dda42c441c73b.jpg","644.11","19000000","[""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757324645449-b2f826d061804b98.jpg""]",,"na","2025-09-08 09:44:10.775","2025-09-08 09:44:10.775"
